"DI-Base" "DI-Logit" "DI-Tree" "DI-RF"
0.378 0.218 0.272 0.32
0.35 0.22 0.287 0.318
0.339 0.207 0.258 0.306
0.367 0.23 0.289 0.347
0.368 0.211 0.293 0.301
0.354 0.217 0.277 0.313
0.373 0.236 0.303 0.363
0.372 0.235 0.327 0.354
0.403 0.225 0.301 0.322
0.343 0.227 0.294 0.326
0.373 0.196 0.274 0.318
0.323 0.184 0.265 0.298
0.369 0.221 0.298 0.309
0.352 0.226 0.293 0.309
0.366 0.232 0.296 0.341
0.395 0.193 0.282 0.299
0.359 0.216 0.312 0.344
0.369 0.225 0.274 0.319
0.354 0.21 0.288 0.311
0.411 0.241 0.315 0.345

