"Model" "Lower" "DI" "Upper" "Accuracy"
dataBaseBias     0.322  0.362  0.402 100.0
linLogit          0.212 0.248 0.283 83.50
linLogit_w_S      0.232 0.269 0.305 83.50
linLogit-testing  0.24  0.277 0.314 83.55
condLinLogit      0.284 0.324 0.365 83.62
quadLogit         0.293 0.335 0.376 83.54
condQuadLogit     0.302 0.344 0.385 83.32
binaryTree        0.262 0.304 0.346 85.45
wBinaryTree       0.269 0.311 0.352 85.31
condBinTree       0.331 0.375 0.419 85.16
randomForest      0.318 0.363 0.407 85.98
wRandomForest     0.32 0.365 0.409  85.91
condRandForest    0.349 0.395 0.442 85.74
condRFdiscrPos    0.506 0.562 0.619 85.24







 





